gazetteer_name,place_type,source,match_status,match_method,match_score,osm_name,osm_type,osm_id,osm_class,lon,lat
吴县第十四区下田乡下辖小村,settlement,regex,unmatched,,0,,,,,,
吴县第十四区金钱乡下辖金家村,settlement,regex,unmatched,,0,,,,,,
境域有王家浜,waterway,regex,unmatched,,0,,,,,,
朱塔浜等11个自然村,settlement,regex,unmatched,,0,,,,,,
境域宝尹行政村下辖王家浜,waterway,regex,unmatched,,0,,,,,,
宝南行政村下辖金家村,settlement,regex,unmatched,,0,,,,,,
下田村等6个自然村,settlement,regex,unmatched,,0,,,,,,
宝南行政村,settlement,regex,unmatched,,0,,,,,,
境内新村建设规划宝尹花园,residential,regex,unmatched,,0,,,,,,
宝南2村撤村,settlement,regex,unmatched,,0,,,,,,
改称宝带桥,bridge,regex,review,fuzzy,0.75,宝带桥,way,460257370,tourism:attraction,120.649476,31.2587641
境域王家浜,waterway,regex,unmatched,,0,,,,,,
小村11个自然村,settlement,regex,unmatched,,0,,,,,,
形成宝尹花园,residential,regex,unmatched,,0,,,,,,
动迁下田村,settlement,regex,unmatched,,0,,,,,,
小村2个居民生活区拟建宝南花园,residential,regex,unmatched,,0,,,,,,
宝南花园,residential,regex,matched,exact,1.0,宝南花园,way,1267623063,landuse:residential,120.6411052,31.2536204
王家浜（村）王家浜,waterway,regex,unmatched,,0,,,,,,
东为尤字港,waterway,regex,unmatched,,0,,,,,,
南临南浜,waterway,regex,unmatched,,0,,,,,,
北连下田村南港河（又名马桶河,waterway,regex,unmatched,,0,,,,,,
隶属吴县枫桥,bridge,regex,unmatched,,0,,,,,,
尹西乡王家浜,waterway,regex,unmatched,,0,,,,,,
建宝尹村,settlement,regex,unmatched,,0,,,,,,
境域老村,settlement,regex,unmatched,,0,,,,,,
搬迁至朱塔浜（后改名宝尹花园,residential,regex,unmatched,,0,,,,,,
王家浜境内生产队（村,settlement,regex,unmatched,,0,,,,,,
民小组）管理人员先后担任王家浜,waterway,regex,unmatched,,0,,,,,,
生产队队长（村,settlement,regex,unmatched,,0,,,,,,
